ASV_ID	taxonomy
365e739d73243e8a0d4e682e212a3640	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
c2213d3fcc7257a22a237c3b3bebb1df	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
ec3bce8039e4ecb46ff46154243a5872	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
fed3354f9d13d1921e6a2272ba010dba	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
b108c46068cf4dced599120e7ab523e4	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
ccdcf68dd58d52c46ba3e46346ff081a	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
a1771ba1406ccd271380bc88bb3d530a	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
c4491c2df29695e9217375fc3e63f530	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
bfa6763ebe9bde14bec5208ae4c8a3c9	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
da84fe92a5399c64943eaf8a876aad1b	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
ccfb1f9de34beaaea9654275022b9527	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella
975f28d59041cf2334f7a043bf148ecd	Bacteria;Proteobacteria;Alphaproteobacteria;;;
db685f7cabd23ecdc35e9fbf7ef094ad	Bacteria;Proteobacteria;Alphaproteobacteria;;;
119bdaf921034f8a35c8124ca530faa0	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
6eb7b84712496ed3d0ff029859b23b62	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
9b5e4ac3870c3d39ac09f85c256c9dcc	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
27209a2434cd22ea2744cf66f9f2cb8f	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
dacd730fd916530f0eae29f215e3d911	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
1f5ee6949f08519682e41645f0cb94cd	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
78f9f81449510c5fba492c742de9cb6f	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum
